Time,Heart Rate
00:00:00,48
00:01:00,46
00:02:00,50
00:03:00,48
00:04:00,47
00:05:00,48
00:06:00,47
00:07:00,47
00:08:00,46
00:09:00,46
00:10:00,52
00:11:00,48
00:12:00,49
00:13:00,49
00:14:00,48
00:15:00,50
00:16:00,50
00:17:00,50
00:22:00,55
00:23:00,50
00:24:00,47
00:25:00,47
00:26:00,50
00:27:00,47
00:28:00,46
00:29:00,47
00:30:00,46
00:31:00,46
00:32:00,49
00:33:00,46
00:34:00,49
00:35:00,49
00:36:00,48
00:37:00,48
00:38:00,48
00:39:00,47
00:40:00,49
00:41:00,48
00:42:00,47
00:43:00,46
00:44:00,46
00:45:00,47
00:46:00,45
00:47:00,47
00:48:00,45
00:49:00,46
00:50:00,50
00:51:00,47
00:52:00,47
00:53:00,53
00:54:00,57
00:55:00,51
00:56:00,50
00:57:00,49
00:58:00,50
00:59:00,51
01:00:00,49
01:01:00,49
01:02:00,48
01:03:00,48
01:04:00,51
01:05:00,48
01:06:00,48
01:07:00,48
01:08:00,52
01:09:00,52
01:10:00,50
01:11:00,48
01:12:00,49
01:13:00,47
01:14:00,47
01:15:00,49
01:16:00,47
01:17:00,48
01:18:00,48
01:19:00,48
01:20:00,47
01:21:00,48
01:22:00,49
01:23:00,49
01:24:00,49
01:25:00,47
01:26:00,48
01:27:00,49
01:28:00,48
01:29:00,48
01:30:00,52
01:31:00,50
01:32:00,49
01:33:00,50
01:34:00,48
01:35:00,51
01:36:00,52
01:37:00,48
01:38:00,48
01:39:00,47
01:40:00,47
01:41:00,48
01:42:00,47
01:43:00,47
01:44:00,46
01:45:00,48
01:46:00,47
01:47:00,47
01:48:00,48
01:49:00,47
01:50:00,48
01:51:00,47
01:52:00,47
01:53:00,47
01:54:00,48
01:55:00,48
01:56:00,48
01:57:00,48
01:58:00,48
01:59:00,48
02:00:00,48
02:01:00,48
02:02:00,48
02:03:00,48
02:04:00,49
02:05:00,48
02:06:00,48
02:07:00,49
02:08:00,49
02:09:00,49
02:10:00,49
02:11:00,49
02:12:00,48
02:13:00,49
02:14:00,49
02:15:00,48
02:16:00,49
02:17:00,48
02:18:00,49
02:19:00,49
02:20:00,49
02:21:00,48
02:22:00,63
02:23:00,51
02:24:00,63
02:25:00,54
02:26:00,53
02:27:00,49
02:28:00,50
02:29:00,53
02:30:00,55
02:31:00,52
02:32:00,50
02:33:00,51
02:34:00,50
02:35:00,52
02:36:00,49
02:37:00,48
02:38:00,49
02:39:00,52
02:40:00,48
02:41:00,48
02:42:00,47
02:43:00,47
02:44:00,50
02:45:00,49
02:46:00,48
02:47:00,48
02:48:00,49
02:49:00,53
02:50:00,48
02:51:00,46
02:52:00,48
02:53:00,46
02:54:00,47
02:55:00,47
02:56:00,48
02:57:00,48
02:58:00,51
02:59:00,54
03:00:00,50
03:01:00,51
03:02:00,51
03:03:00,48
03:04:00,48
03:05:00,48
03:06:00,48
03:07:00,49
03:08:00,49
03:09:00,48
03:10:00,49
03:11:00,48
03:12:00,49
03:13:00,48
03:14:00,48
03:15:00,48
03:16:00,48
03:17:00,48
03:18:00,49
03:19:00,49
03:20:00,48
03:21:00,49
03:22:00,55
03:23:00,51
03:24:00,49
03:25:00,48
03:26:00,50
03:27:00,47
03:28:00,47
03:29:00,48
03:30:00,48
03:31:00,48
03:32:00,48
03:33:00,48
03:34:00,49
03:35:00,50
03:36:00,61
03:37:00,53
03:38:00,47
03:39:00,46
03:40:00,46
03:41:00,47
03:42:00,47
03:43:00,46
03:44:00,46
03:45:00,46
03:46:00,46
03:47:00,47
03:48:00,47
03:49:00,47
03:50:00,46
03:51:00,48
03:52:00,47
03:53:00,47
03:54:00,48
03:55:00,47
03:56:00,46
03:57:00,47
03:58:00,47
03:59:00,47
04:00:00,47
04:01:00,47
04:02:00,47
04:03:00,47
