Time,Heart Rate
00:00:00,52
00:01:00,52
00:02:00,51
00:03:00,50
00:04:00,49
00:05:00,49
00:06:00,51
00:07:00,48
00:08:00,49
00:09:00,48
00:10:00,48
00:11:00,49
00:12:00,48
00:13:00,49
00:14:00,49
00:15:00,47
00:16:00,49
00:17:00,49
00:18:00,49
00:19:00,48
00:20:00,49
00:21:00,48
00:22:00,50
00:23:00,49
00:24:00,48
00:25:00,49
00:26:00,48
00:27:00,48
00:28:00,49
00:29:00,48
00:30:00,49
00:31:00,48
00:32:00,48
00:33:00,49
00:34:00,49
00:35:00,50
00:36:00,49
00:37:00,49
00:38:00,48
00:39:00,49
00:40:00,49
00:41:00,49
00:42:00,55
00:43:00,50
00:44:00,58
00:45:00,50
00:46:00,49
00:47:00,49
00:48:00,48
00:49:00,50
00:50:00,48
00:51:00,48
00:52:00,48
00:53:00,48
00:54:00,48
00:55:00,49
00:56:00,48
00:57:00,49
00:58:00,50
00:59:00,48
01:00:00,49
01:01:00,49
01:02:00,49
01:03:00,53
01:04:00,62
01:05:00,62
01:06:00,57
01:07:00,53
01:08:00,53
01:09:00,49
01:10:00,49
01:11:00,50
01:12:00,50
01:13:00,50
01:14:00,48
01:15:00,51
01:16:00,51
01:17:00,53
01:18:00,51
01:19:00,54
01:20:00,52
01:21:00,53
01:22:00,49
01:23:00,47
01:24:00,49
01:25:00,52
01:26:00,52
01:27:00,50
01:28:00,49
01:29:00,50
01:30:00,50
01:31:00,49
01:32:00,49
01:33:00,51
01:34:00,50
01:35:00,48
01:36:00,51
01:37:00,51
01:38:00,50
01:39:00,52
01:40:00,49
01:41:00,49
01:42:00,50
01:43:00,49
01:44:00,50
01:45:00,49
01:46:00,50
01:47:00,50
01:48:00,50
01:49:00,49
01:50:00,49
01:51:00,49
01:52:00,49
01:53:00,49
01:54:00,49
01:55:00,50
01:56:00,49
01:57:00,49
01:58:00,49
01:59:00,48
02:00:00,49
02:01:00,49
02:02:00,49
02:03:00,49
02:04:00,50
02:05:00,48
02:06:00,48
02:07:00,49
02:08:00,57
02:09:00,55
02:10:00,46
02:11:00,46
02:12:00,47
02:13:00,46
02:14:00,45
02:15:00,47
02:16:00,50
02:17:00,48
02:18:00,48
02:19:00,49
02:20:00,47
02:21:00,48
02:22:00,46
02:23:00,47
02:24:00,46
02:25:00,48
02:26:00,48
02:27:00,56
02:28:00,54
02:29:00,49
02:30:00,49
02:31:00,47
02:32:00,49
02:33:00,47
02:34:00,48
02:35:00,48
02:36:00,48
02:37:00,49
02:38:00,48
02:39:00,47
02:40:00,47
02:41:00,49
02:42:00,47
02:43:00,48
02:44:00,60
02:45:00,49
02:46:00,46
02:47:00,49
02:48:00,49
02:49:00,48
02:50:00,48
02:51:00,47
02:52:00,45
02:53:00,47
02:54:00,46
02:55:00,47
02:56:00,48
02:57:00,47
02:58:00,52
02:59:00,48
03:00:00,53
03:01:00,52
03:02:00,50
03:03:00,49
03:04:00,51
03:05:00,48
03:06:00,47
03:07:00,51
03:08:00,50
03:09:00,50
03:10:00,50
03:11:00,48
03:12:00,48
03:13:00,45
03:14:00,47
03:15:00,47
03:16:00,50
03:17:00,45
03:18:00,49
03:19:00,47
03:20:00,47
03:21:00,46
03:22:00,46
03:23:00,49
03:24:00,47
03:25:00,46
03:26:00,48
03:27:00,48
03:28:00,45
03:29:00,48
03:30:00,46
03:31:00,45
03:32:00,48
03:33:00,46
03:34:00,49
03:35:00,51
03:36:00,51
03:37:00,47
03:38:00,48
03:39:00,46
03:40:00,47
03:41:00,47
03:42:00,47
03:43:00,48
03:44:00,48
03:45:00,45
03:46:00,45
03:47:00,46
03:48:00,44
03:49:00,45
03:50:00,45
03:51:00,47
03:52:00,52
03:53:00,45
03:54:00,46
03:55:00,45
03:56:00,46
03:57:00,54
03:58:00,49
03:59:00,48
04:00:00,47
04:01:00,47
04:02:00,46
04:03:00,47
04:04:00,46
04:05:00,47
04:06:00,47
04:07:00,47
04:08:00,48
04:09:00,47
04:10:00,47
04:11:00,47
04:12:00,48
04:13:00,47
04:14:00,46
04:15:00,47
04:16:00,48
04:17:00,47
04:18:00,59
04:19:00,48
04:20:00,47
04:21:00,62
04:22:00,54
04:23:00,49
04:24:00,47
04:25:00,46
04:26:00,46
04:27:00,46
04:28:00,46
04:29:00,47
04:30:00,47
04:31:00,46
04:32:00,54
04:33:00,47
04:34:00,52
04:35:00,47
04:36:00,47
04:37:00,52
04:38:00,45
04:39:00,44
04:40:00,49
04:41:00,50
04:42:00,49
04:43:00,47
04:44:00,47
04:45:00,46
04:46:00,47
04:47:00,47
04:48:00,47
04:49:00,48
04:50:00,47
04:51:00,53
04:52:00,46
04:53:00,45
04:54:00,45
04:55:00,49
04:56:00,49
04:57:00,46
04:58:00,47
04:59:00,51
05:00:00,46
05:01:00,47
05:02:00,46
05:03:00,50
05:04:00,63
05:05:00,47
