Time,Heart Rate
00:00:00,56
00:01:00,56
00:02:00,54
00:03:00,55
00:04:00,53
00:05:00,52
00:06:00,53
00:07:00,57
00:08:00,55
00:09:00,53
00:10:00,52
00:11:00,53
00:12:00,54
00:13:00,57
00:14:00,57
00:15:00,52
00:16:00,50
00:17:00,51
00:18:00,51
00:19:00,51
00:20:00,52
00:21:00,51
00:22:00,50
00:23:00,54
00:24:00,52
00:25:00,50
00:26:00,51
00:29:00,52
00:30:00,54
00:31:00,57
00:32:00,53
00:33:00,52
00:34:00,52
00:35:00,53
00:36:00,50
00:37:00,51
00:38:00,51
00:39:00,51
00:40:00,50
00:41:00,49
00:42:00,51
00:43:00,55
00:44:00,51
00:45:00,51
00:46:00,51
00:47:00,52
00:48:00,51
00:49:00,49
00:50:00,52
00:51:00,50
00:52:00,51
00:53:00,48
00:54:00,51
00:55:00,52
00:56:00,50
00:57:00,52
00:58:00,53
00:59:00,52
01:00:00,52
01:01:00,52
01:02:00,55
01:03:00,53
01:04:00,53
01:05:00,53
01:06:00,55
01:07:00,54
01:08:00,52
01:09:00,54
01:10:00,53
01:11:00,53
01:12:00,53
01:13:00,53
01:14:00,53
01:15:00,52
01:16:00,52
01:17:00,50
01:25:00,50
01:26:00,50
01:27:00,53
01:28:00,52
01:29:00,50
01:30:00,50
01:31:00,50
01:32:00,50
01:33:00,52
01:34:00,51
01:35:00,51
01:36:00,51
01:37:00,50
01:38:00,50
01:39:00,51
01:40:00,50
01:41:00,50
01:42:00,51
01:43:00,51
01:44:00,52
01:45:00,53
01:46:00,52
01:47:00,51
01:48:00,52
01:49:00,52
01:50:00,53
01:51:00,59
01:52:00,57
01:53:00,50
01:54:00,50
01:55:00,52
01:56:00,54
01:57:00,56
01:58:00,52
01:59:00,53
02:00:00,52
02:01:00,52
02:02:00,53
02:03:00,49
02:04:00,50
02:05:00,52
02:06:00,53
02:07:00,50
02:08:00,49
02:09:00,46
02:10:00,47
02:11:00,53
02:12:00,49
02:13:00,51
02:14:00,50
02:15:00,47
02:16:00,53
02:17:00,49
02:18:00,47
02:19:00,48
02:20:00,50
02:21:00,48
02:23:00,47
02:24:00,49
02:25:00,53
02:26:00,50
02:27:00,49
02:28:00,54
02:29:00,50
02:30:00,50
02:31:00,49
02:32:00,50
02:33:00,50
02:34:00,47
02:35:00,49
02:36:00,50
02:37:00,53
02:38:00,54
02:39:00,54
02:40:00,52
02:41:00,50
02:42:00,48
02:43:00,51
02:44:00,54
02:45:00,50
02:46:00,52
02:47:00,49
02:48:00,51
02:49:00,49
02:50:00,51
02:51:00,51
02:52:00,50
02:53:00,52
02:54:00,51
02:55:00,51
02:56:00,51
02:57:00,50
02:58:00,49
02:59:00,50
03:00:00,49
03:01:00,49
03:02:00,49
03:03:00,48
03:04:00,50
03:05:00,49
03:06:00,48
03:07:00,49
03:08:00,49
03:09:00,49
03:10:00,50
03:11:00,49
03:12:00,48
03:13:00,49
03:14:00,47
03:15:00,48
03:16:00,49
03:17:00,48
03:18:00,49
03:19:00,48
03:20:00,48
03:21:00,49
03:22:00,48
03:23:00,49
03:24:00,49
03:25:00,50
03:26:00,50
03:27:00,49
03:28:00,49
03:29:00,57
03:30:00,55
03:31:00,49
03:32:00,48
03:33:00,49
03:34:00,48
03:35:00,49
03:36:00,49
03:37:00,49
03:38:00,48
03:39:00,49
03:40:00,49
03:41:00,48
03:42:00,48
03:43:00,49
03:44:00,49
03:45:00,56
03:46:00,49
03:47:00,49
03:48:00,49
03:49:00,48
03:50:00,48
03:51:00,48
03:52:00,49
03:53:00,49
03:54:00,55
03:55:00,48
03:56:00,47
03:57:00,46
03:58:00,47
03:59:00,48
04:00:00,47
04:01:00,53
04:02:00,50
04:03:00,49
04:04:00,49
04:05:00,50
04:06:00,49
04:07:00,49
04:08:00,49
04:09:00,49
04:10:00,49
04:11:00,49
04:12:00,51
04:13:00,48
04:14:00,49
04:15:00,54
04:16:00,47
04:17:00,46
04:18:00,48
04:19:00,47
04:20:00,50
04:21:00,52
04:22:00,52
04:23:00,50
04:24:00,49
04:25:00,54
04:26:00,51
04:27:00,50
04:28:00,49
04:29:00,50
04:30:00,50
04:31:00,51
